"","Comp 1","Comp 2","Comp 3"
"1292",0.0292811179120607,-0.0398669764744159,-0.0458550532347157
"1294",0.030356244544506,-0.0388029949556315,-0.0449962617483612
"1296",0.0312397165170665,-0.037851632209671,-0.0442884930501549
"1298",0.0320194532067224,-0.03694741431509,-0.0436409402706526
"1300",0.0326729372601411,-0.0360954382919412,-0.04302732379053
"1302",0.0331853147067773,-0.0352991697071861,-0.0424686790394087
"1304",0.0335849761678543,-0.0345271923346744,-0.0419765488314746
"1306",0.033914649591243,-0.033741357032301,-0.0414998341968375
"1308",0.0341705351017805,-0.0329591644879343,-0.0410434656053183
"1310",0.034368975842317,-0.0321573301118696,-0.0405785020017482
"1312",0.0345076802793553,-0.0313251818418007,-0.0400945482464935
"1314",0.0345593877188915,-0.0304815823060184,-0.0396266572392362
"1316",0.0345133143849916,-0.0296171086729196,-0.0391755615200379
"1318",0.0344170810706001,-0.0287105083606295,-0.0387258413392877
"1320",0.0343270128937006,-0.0277318128641144,-0.038254379232515
"1322",0.0341901990535857,-0.0267014272218448,-0.0377457719162524
"1324",0.0339657186061059,-0.025629159550788,-0.0371613963379818
"1326",0.0336783874671918,-0.0244908273352026,-0.0364862481126558
"1328",0.0333435897178722,-0.0232754343976821,-0.0357465004869337
"1330",0.0328987621808326,-0.0220430058996226,-0.0349711190489112
"1332",0.0323655888574661,-0.020778782437709,-0.0341208120825082
"1334",0.0317220754273812,-0.0194970751783995,-0.0332188547053751
"1336",0.0309338059878229,-0.0182274975446589,-0.0323084581927898
"1338",0.0300386298646236,-0.0169210838128056,-0.0313525633523431
"1340",0.0290183886158254,-0.0156139401106426,-0.0303896505409293
"1342",0.0278167826093712,-0.0143803739034408,-0.029466223697378
"1344",0.0263725887937695,-0.0132464773205345,-0.0286442887784087
"1346",0.0246514400826772,-0.0121759960405697,-0.0278732858069037
"1348",0.0225944341748722,-0.0112106455740902,-0.0271557660651586
"1350",0.0201317312324083,-0.0104075855258579,-0.0266558190676131
"1352",0.0172061895377606,-0.00975836525496754,-0.0264040939470507
"1354",0.0138772868802293,-0.00923516281343865,-0.0263993529883408
"1356",0.0102336334429396,-0.008817673473117,-0.0267274094310555
"1358",0.00634895814335632,-0.00843207046971768,-0.0273376281932261
"1360",0.00242488477371046,-0.0079190003700402,-0.0280056999942185
"1362",-0.00145763165282458,-0.00724820726047865,-0.0285701346074157
"1364",-0.00530576874702981,-0.00633431111925825,-0.0288504086146953
"1366",-0.00898056790498116,-0.00496480903636132,-0.0286352528043817
"1368",-0.0123339160775488,-0.00294500083312819,-0.0276304213223689
"1370",-0.0153343978393002,-0.000276631871644669,-0.0257747194256165
"1372",-0.0179335032767214,0.00295251126783094,-0.0232697958961584
"1374",-0.0200435238344946,0.00667768646726451,-0.0202862076281448
"1376",-0.0216569916747864,0.0107346824511558,-0.0170042362904029
"1378",-0.0228034270572407,0.0149663455972003,-0.0136247557531678
"1380",-0.0235300573852727,0.0192462668088623,-0.0103023292568797
"1382",-0.0238672379030403,0.0234596988448919,-0.00715387772136421
"1384",-0.0238118597680875,0.0275528272082282,-0.00421057947584742
"1386",-0.0234321730937742,0.0314663204843767,-0.00153618903175344
"1388",-0.0227856796247942,0.035154543357804,0.000799996471632199
"1390",-0.0218695797560985,0.0386216432315588,0.0028111205782683
"1392",-0.0207137010048494,0.0418474829800464,0.00449126901411546
"1394",-0.0193474570172869,0.0448249199699164,0.00584515410195558
"1396",-0.0177651756480035,0.0475773991188233,0.00687902966847683
"1398",-0.0159846526148946,0.0501160912520335,0.00759404298935956
"1400",-0.0140564381611467,0.0524417826642412,0.00801349970506098
"1402",-0.0120276269853467,0.0545636362373889,0.00819671372142935
"1404",-0.00993391238097801,0.0564749678318272,0.00816887531693598
"1406",-0.00776664361676357,0.058213403816532,0.00801333370181801
"1408",-0.00555915069999783,0.0597949414634682,0.00779748193279707
"1410",-0.00339297437690084,0.0612039107655218,0.00755990084128654
"1412",-0.00130790906712328,0.0624485827038016,0.0073231633348469
"1414",0.000653842393561792,0.0635154479579634,0.00706885967651168
"1416",0.00247320869077402,0.0644034817039907,0.00679812031558322
"1418",0.0042017935481706,0.0651417915934118,0.00649662125019321
"1420",0.0057616566477973,0.0656872020068149,0.00610550127979127
"1422",0.00704262456592797,0.0659894384584127,0.00557040854549064
"1424",0.00817412211597331,0.066122772764527,0.00492296749739535
"1426",0.00920822137990229,0.0660788940019636,0.0040970880470741
"1428",0.0101662157509617,0.0658742637010445,0.00314465656611577
"1430",0.0111439283915665,0.0655636100720094,0.00210763606174912
"1432",0.0122180721935748,0.0652088798033429,0.00114863743416642
"1434",0.0133073612417421,0.0647581107780401,0.000308900925359448
"1436",0.0144699785326289,0.0642686783685501,-0.000277252227295866
"1438",0.0157504866034791,0.0636324056130925,-0.000646503812274338
"1440",0.0176088231411437,0.0627742870049721,-0.000785814477924294
"1442",0.020103404391485,0.0616678933939787,-0.000230363340068787
"1444",0.0227190681455652,0.0598500356491425,0.00129261686231604
"1446",0.027183074171935,0.0572364879822355,0.00541696132465195
"1448",0.0352976520398661,0.0516290213266861,0.0143114163605138
"1450",0.0447226041542602,0.0350090748600092,0.0283453144919987
"1452",0.0451309840506091,0.00500450295209534,0.0392158899249107
"1454",0.0371653592342138,-0.0174494787308704,0.0403390709306306
"1456",0.0302978045593248,-0.0281569707846275,0.038206203159585
"1458",0.0261440563049297,-0.0333343886651908,0.0357937095510369
"1460",0.0236444054467892,-0.0363370884273967,0.0333341603524515
"1462",0.0221316868051538,-0.0383320750864101,0.0310900883313959
"1464",0.0214140064850223,-0.0396190331698382,0.0292974537633029
"1466",0.0210150459962742,-0.040700867584732,0.0274406495976838
"1468",0.0208367811902481,-0.0416045808624378,0.0256443145965507
"1470",0.020860713359507,-0.0422809507551854,0.0241147195068854
"1472",0.0208757615138515,-0.0429545260463012,0.0225203764316852
"1474",0.0208520445374644,-0.0436544759961585,0.0208120893952502
"1476",0.0210088022888509,-0.0442317147273369,0.0191527162505646
"1478",0.0213205301348575,-0.0446939495021778,0.0175865959720447
"1480",0.0217323583315579,-0.0451027903074415,0.0159805963337493
"1482",0.0221680080229653,-0.0455473183273923,0.0141689449580652
"1484",0.0225631533375864,-0.046020398820148,0.012254068359115
"1486",0.0230734268710136,-0.046339314251476,0.0105185144151209
"1488",0.0236667225191603,-0.0465509597707397,0.00886214739227622
"1490",0.0242111561183409,-0.046733958643757,0.0072823043945819
"1492",0.0247443389782534,-0.0468153752610879,0.00597326901708294
"1494",0.0252333818713678,-0.0468371258890111,0.00486454846547871
"1496",0.0256335036121101,-0.0468438138554629,0.00389083008026199
"1498",0.0260595949197594,-0.046763715723143,0.0030912957799796
"1500",0.0266247314909428,-0.046498390161118,0.00257680909920378
"1502",0.0273596089812854,-0.0460061882078534,0.00239684811857917
"1504",0.0281564697980844,-0.0453820272415451,0.00243110904594556
"1506",0.0288992808067168,-0.0447398891547408,0.00253554795547437
"1508",0.029673124744014,-0.0440477018389784,0.00266675572764028
"1510",0.0305697642713426,-0.0432432686976395,0.00283610954465695
"1512",0.031485996136176,-0.0423708512440118,0.00308492023859978
"1514",0.0324110325481861,-0.0414269258310276,0.00344994927603949
"1516",0.0333534160153382,-0.0404547518246531,0.0037849151237526
"1518",0.0342381597427754,-0.0395180660541987,0.00400681462821481
"1520",0.0350737746214209,-0.0386110644979553,0.00417070112527598
"1522",0.0359174712508496,-0.0377067311970599,0.00434119838340481
"1524",0.0367730283634227,-0.0367916209017737,0.0045438431998632
"1526",0.0376419158347097,-0.0358694184215434,0.00477718544692717
"1528",0.0385424173533656,-0.0349613265010513,0.00497752957468019
"1530",0.0394820095149069,-0.0340746566932769,0.00510047835872331
"1532",0.0404153676454888,-0.0332526775127324,0.0051049772290981
"1534",0.0412815847254464,-0.0325276196357894,0.00502135486848098
"1536",0.0421792824971481,-0.0317707583257567,0.00499485832612664
"1538",0.0431547034707872,-0.030978588783457,0.00494709897621376
"1540",0.0441115612275151,-0.0302600434401725,0.00476062108675537
"1542",0.0449700725412611,-0.0296562351840176,0.00444506050650997
"1544",0.0457066459367859,-0.0291632892616809,0.00405940035522216
"1546",0.0462825600713627,-0.028826831852578,0.00354003979019587
"1548",0.0466842780269815,-0.0286742129189656,0.00285286207852656
"1550",0.0469484912628626,-0.0286279698973098,0.00205763472838596
"1552",0.0471656664471837,-0.0285447332091585,0.00135521797554894
"1554",0.0472009849556994,-0.0285816552566977,0.000630021421474631
"1556",0.046915925852629,-0.0288528466405703,-0.000180999467221698
"1558",0.0465552851796392,-0.0290499567890565,-0.000729545658247819
"1560",0.0461987570428585,-0.0291183785483131,-0.0010498036954601
"1562",0.0457933522135715,-0.0291185346766687,-0.00117888741318538
"1564",0.0452582059791059,-0.0291191398746677,-0.00113420105454645
"1566",0.0445801070868825,-0.0291444587897805,-0.000965255601703042
"1568",0.0438158554739539,-0.0291864882247081,-0.000760765881672788
"1570",0.043086260404529,-0.0291718033834491,-0.00049089304973598
"1572",0.042279132438431,-0.0291836621467172,-0.000217823131096818
"1574",0.0413610853095177,-0.0292991405027443,-0.000144253606577058
"1576",0.0404167914273939,-0.0295306312037965,-0.000282353330915034
"1578",0.0394543300944383,-0.0299186395316002,-0.000630990015505976
"1580",0.0386323016585339,-0.0303077982219279,-0.00109727501381002
"1582",0.0379366136579858,-0.0307361652549592,-0.00192921192133996
"1584",0.0372984821849942,-0.0312086030233251,-0.00314195355081583
"1586",0.0367384924728263,-0.0316474081645646,-0.00439436573746545
"1588",0.0362070548873473,-0.0321060893628674,-0.00570639875129713
"1590",0.0355664072651611,-0.0327325779311307,-0.00725536659301616
