"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8","Comp 9"
"804",-0.0792516621013428,0.0784045991079421,-0.00315180728434776,-0.00794195708633574,-0.0808224537417651,-0.0230423912530283,-0.0286453218500108,-0.00817390119073852,0.0237929058144683
"806",-0.081560923609434,0.07494271716889,-0.00779061810974242,-0.0120172457685506,-0.0732775641037606,-0.0250027060266645,-0.0267795533375889,0.00548266216101765,0.0439691212310206
"808",-0.0847805387975485,0.070728613079569,-0.0106639633609653,-0.00689163138375309,-0.0621842512857988,-0.0215839422329598,-0.0222694961927458,0.0253314649247005,0.0681309194334105
"810",-0.0874663219519051,0.0666402196337574,-0.0142719549705645,0.0020371718875544,-0.0508480698421393,-0.0145642606204364,-0.0190753125718052,0.0420294782222488,0.0880116021055015
"812",-0.0889802678749801,0.0633303977175213,-0.0185641777835846,0.00504544165040659,-0.0491406442956912,-0.0167832968294565,-0.0236452248663422,0.0352308866251191,0.0821361746580847
"814",-0.0900190737122983,0.0622912040014672,-0.0203021336779253,-0.00197556585572921,-0.0500082919699149,-0.0306819972106483,-0.0353612944247224,0.00586399119022995,0.0515088747833121
"816",-0.0900884073871587,0.0639772560679144,-0.0171677435265051,-0.00166097551863601,-0.0477850815626432,-0.0358947162268,-0.0416003973818975,-0.0229605640800498,0.0259942178156299
"818",-0.0890069910373779,0.0671053626936217,-0.0112879826148173,0.0115564712626473,-0.0464219701926454,-0.0303334229002847,-0.0378682862294939,-0.0316603169753858,0.025341416807286
"820",-0.0865134026882343,0.0731442428832334,-0.00356376089723279,0.0311406175007791,-0.0386907542661842,-0.0209606975376648,-0.0306123297481227,-0.0263818873081444,0.0380091062828487
"822",-0.0825256546376835,0.0824315244572112,0.00622285985533077,0.0500788066909758,-0.0255016604827383,-0.0102955537494486,-0.0242621335868711,-0.0189285029972406,0.0540138407682759
"824",-0.0749347232039607,0.0990075876419395,0.0236928868079447,0.0736472225514946,-0.00400438941370278,0.00119644332350274,-0.0221153472418383,-0.0133904742065991,0.0696127867179841
"826",-0.0531645668087295,0.135201238096226,0.0631045399886599,0.129860726709836,0.042369365358196,0.0181599957628037,-0.0215298408907458,0.00273318028778194,0.108309240038307
"828",0.0725161949599091,0.18870919756891,0.177380165399352,0.258272988629404,0.206260141069174,0.0626381423090368,-0.00851929457178783,0.0744907706726432,0.206038791401089
"830",0.111427418636754,0.0260862150486548,0.0849693232986365,0.0804852245303656,0.135609619726498,0.0178366820659528,0.00250281580121232,0.0338758490504864,0.0353622054867264
"832",0.103380322852126,-0.0148275290098017,0.0527863034963559,0.0352708437213395,0.104191196188295,0.00167749337383319,0.00136010734559095,0.00865785274768483,-0.0258858454144062
"834",0.0981503965343691,-0.0301443398076362,0.0418077981561224,0.021644250191272,0.0961469099774118,-0.00541290006691016,0.00131387427586922,3.04302185983877e-05,-0.0463405764339376
"836",0.0936818066489845,-0.040587425756486,0.0376537861288373,0.0212693914154144,0.0942550462362434,-0.00383839831144961,0.00708314979001863,0.00122737634977068,-0.0482559766832519
"838",0.0883224067857738,-0.0501379657216952,0.0349511859713482,0.0279269382768446,0.0979563949422603,0.00158760360771386,0.0192732102130714,0.0153345342816279,-0.0368936151792942
"840",0.0812267251022707,-0.0590518551832521,0.0319034937873437,0.0314737556288816,0.105420698084513,-0.000318217070029362,0.0303560424295338,0.0307873015827387,-0.027963749881656
"842",0.0705036628562207,-0.0712954405259656,0.0271312665105737,0.0259072993931928,0.108990614547187,-0.00612701077524823,0.0434920912119392,0.0468807382647124,-0.0193593999721225
"844",0.0539788091878573,-0.0907681618355405,0.0146820113858222,-0.00319613647748569,0.0954094048888827,-0.0284551258332395,0.0568505075028463,0.047497808883105,-0.0282701175116217
"846",0.0314467717586374,-0.115035095886714,-0.00452410489453761,-0.0578597786624222,0.0505969463396958,-0.0782984091381372,0.0675571891433632,0.0295882788661047,-0.0495970851561132
"848",0.00346306416451559,-0.128373412139489,-0.0216715033482945,-0.159745302043982,-0.0334633296211063,-0.141510827038381,0.0927722822543263,0.00223699301728915,-0.0689384671369051
"850",-0.0163119903174976,-0.0970332242110356,-0.00941985498182952,-0.221752830620044,-0.0893828243852447,-0.154669898116554,0.15068504193556,-0.0394235072728576,-0.115646171164759
"852",-0.0183747083443811,-0.0205907198837707,0.0484348053916375,-0.0935819289836804,-0.0570168905730479,-0.0456363713550458,0.247578421030761,-0.0471749956570068,-0.099541673102013
"854",-0.00476958793462545,0.0585360629489836,0.107753871133586,0.0217974400476704,-0.0153145701373933,0.0995594863560942,0.33512655330996,-0.00523796610037034,0.0159552574350647
"856",0.0136836336107049,0.0917965643840495,0.128080086446851,0.0438452252860186,-0.0147690932718892,0.187624709888793,0.346014937921043,-0.0513436479785516,0.00170330376685401
"858",0.0393608113386398,0.112527667009226,0.113664690632126,0.0038026089714867,-0.00979315603231388,0.214587576624157,0.347808020436497,-0.0269972213573563,-0.0247894608610114
"860",0.0514518692265184,0.12438804510113,0.0612772721666782,-0.0911489507715593,-0.0697180076899016,0.149516916159165,0.270351910396925,0.0273874778169555,0.00308803504559371
"862",0.0482339812250408,0.121868655185551,0.00745891378616447,-0.14645253265992,-0.113135395738983,0.0873567086116319,0.172061161308529,-0.00608069921026085,-0.0383665699011188
