"","Comp 1","Comp 2","Comp 3","Comp 4"
"928",-0.116161385988664,-0.000714707469433805,0.0277202190611135,-0.0135281515769564
"930",-0.117001138121922,0.00177817114311124,0.0192956516309874,-0.0124079926421902
"932",-0.117239995436113,0.00486128401585486,0.0087001656527344,-0.0107841084944265
"934",-0.116363362211485,0.00842670684805857,-0.00485607055347763,-0.00879991837713687
"936",-0.113441935392515,0.0123985536401036,-0.0217188306379359,-0.0064603086214049
"938",-0.107265451710457,0.0167639888094247,-0.0409990462923081,-0.00298599982044016
"940",-0.0969971680025979,0.0212537386660604,-0.0608342759426475,0.00176184291321243
"942",-0.0827350288470769,0.0256932853499582,-0.0786266993624457,0.00790648896767022
"944",-0.0657639951598299,0.0297838412248059,-0.0924583399330222,0.014674256686148
"946",-0.0476443585294104,0.0337141489476109,-0.101475658212361,0.0220211793358642
"948",-0.0294610393948115,0.0374775959778455,-0.10623965236756,0.0293110241872665
"950",-0.0116613993375646,0.0411822122161358,-0.107524938675474,0.0362947769889132
"952",0.00573010753218699,0.0448006520338427,-0.106145100735187,0.0423099251738058
"954",0.0228054160029675,0.048243605420985,-0.102589654800051,0.0470937634670034
"956",0.0395490298255514,0.05131473275302,-0.0971897123853831,0.0501579874042984
"958",0.0558458527584826,0.0538729436048905,-0.0900790856613316,0.0513313239249115
"960",0.0713475892801883,0.055696703565251,-0.0814876801081553,0.0502610108747679
"962",0.0855677903290953,0.0566097963570618,-0.0717447970232214,0.0466813957378104
"964",0.0979940060456447,0.0563808340044424,-0.061341474822549,0.0405421744827389
"966",0.108212588411767,0.0550031064670844,-0.0508095801071213,0.0321711607032841
"968",0.116100756633001,0.0525943407520345,-0.0404795907082924,0.0223351319256059
"970",0.121700580040386,0.0492573471205321,-0.0306882162485717,0.0113594871029176
"972",0.125134652379098,0.0448372448778165,-0.0215993717883007,-0.000924174351991713
"974",0.126614953945668,0.0396147266214451,-0.0126583670046637,-0.0136449591038811
"976",0.12606524495658,0.0334396320341663,-0.00376534942230674,-0.0268579742918285
"978",0.123357760818165,0.0263781040369016,0.00545058382819449,-0.0402075583173933
"980",0.118272136757574,0.0183954443498031,0.014844019080965,-0.0533978334880596
"982",0.110930994597405,0.010030445011267,0.0242021765988397,-0.0657029401775736
"984",0.101796981348728,0.00158729566344288,0.0329270600987038,-0.0762228264348276
"986",0.0917505529925,-0.00615041079760052,0.041104821582883,-0.0837445194302089
"988",0.0816210819319555,-0.0128772777903582,0.0484051124841362,-0.0882185592829626
"990",0.0721102117750995,-0.0184177892704783,0.055044075531237,-0.0897859494386747
"992",0.0637868904516007,-0.0227995309525407,0.0607478348306385,-0.089131628294009
"994",0.0565960880080825,-0.0265386015187092,0.0656343983866988,-0.0874778118843675
"996",0.0505870247250458,-0.029525501796023,0.0700880233796113,-0.084407958832748
"998",0.0456833532105498,-0.0318810788674392,0.0742350746904057,-0.080252602363462
"1000",0.0417845399272611,-0.0336824081554463,0.0781244761983249,-0.0751961365835868
"1002",0.0387344158387743,-0.0353422276797327,0.0815546445443992,-0.0701015277574048
"1004",0.0365327787510747,-0.0367298959639158,0.0846389103693292,-0.0649518625867964
"1006",0.035116130683928,-0.0381057937319193,0.0872128016004125,-0.0597765715711689
"1008",0.0343897682971581,-0.039255823231061,0.0896341391308002,-0.0540852082772125
