"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5"
"1258",0.00535494671432862,-0.00766756548538702,0.00182774918707456,-0.00943945894805729,-0.00276901614436004
"1260",0.0056946922220229,-0.00926233213064256,0.000739286770209908,-0.0115376097595809,-0.00287961740258458
"1262",0.0061091820280858,-0.0106124814522336,2.31930915730503e-05,-0.0133350130223474,-0.00251162342006176
"1264",0.00682119254650962,-0.0114166420298856,0.000119499460483725,-0.0145591287275359,-0.0012417165716372
"1266",0.00771302671214037,-0.0119785467953573,0.000220660468869075,-0.0156799485235154,-0.000629984234679299
"1268",0.00871758121247238,-0.0122448408589197,0.000423715806612993,-0.0166440629632589,-0.000533493262544513
"1270",0.00984978508521265,-0.0120427556647242,0.000995273792747363,-0.0173104036000377,6.60150431911812e-05
"1272",0.010864212045513,-0.0119397310641652,0.00110976622502221,-0.0181577077134578,0.000188791140627506
"1274",0.0120217976865753,-0.0113315653263205,0.00170277906340745,-0.0188217694374161,0.000585909715538465
"1276",0.0132114531017439,-0.0101809265422331,0.00308588896654803,-0.019130038165725,0.000943897039907823
"1278",0.0143326167925152,-0.00906384240655366,0.00443226882324684,-0.0193880261850118,0.000647728888942908
"1280",0.0156167006181841,-0.00745029169726159,0.00635975219625165,-0.0189997294704152,0.00168878532963553
"1282",0.0170040667330931,-0.00551538979225405,0.00865206706436513,-0.0180487382815433,0.00366148386991032
"1284",0.0181308418286365,-0.00402493297376923,0.0102838009893346,-0.0174149834729144,0.00476536325661409
"1286",0.0190699873232387,-0.00258659843671457,0.0120685033888175,-0.0167269461914231,0.00606588624783399
"1288",0.0198605438301406,-0.000979370659692747,0.0138071626228207,-0.0160043111539979,0.00813991460455546
"1290",0.0203884291492636,0.000296920268993116,0.0149443178343074,-0.0155840454981822,0.00987220032694658
"1292",0.0205318700831594,0.000827762007256714,0.0155374548081627,-0.0154682984682707,0.0110264935704716
"1294",0.0199627351894099,0.000204909633355029,0.015150610890735,-0.0160101129692021,0.0121139562114707
"1296",0.0192250947762834,-0.000830994862021114,0.0143579099014295,-0.0167713550900345,0.012335048101201
"1298",0.0191726731622682,-0.000725917979647381,0.0146599099790245,-0.0167452961281641,0.0126225202977
"1300",0.0191884355854706,7.05803035328201e-05,0.0156254052598425,-0.0161801613770352,0.0144517858610977
"1302",0.0186987039898106,0.000448909167245381,0.0159338008039926,-0.0159224518714587,0.0162336741239973
"1304",0.0180287959782715,0.000921625841989326,0.0161412268425696,-0.0155599043247001,0.0181504580807943
"1306",0.0175095378560043,0.00237421581046563,0.0173193407187973,-0.0144408794551066,0.0202633983556947
"1308",0.0165559257550464,0.00387294369842407,0.0184115668747785,-0.0132035756410543,0.0216605423551948
"1310",0.0148605401394495,0.00450326259269513,0.018409344401545,-0.0122717572529418,0.0221321706692013
"1312",0.0128039267078465,0.00477582875025592,0.0180170047929048,-0.0111426101233805,0.0233356501696773
"1314",0.0104180192074727,0.00473359715734391,0.0169486861576042,-0.00990030953082546,0.0242703077522995
"1316",0.00827072047485278,0.00561347546660801,0.0163675024835542,-0.00792462217658433,0.0239376234386878
"1318",0.00654083688596428,0.00776073936754146,0.0167415612877829,-0.0048673103724314,0.0243901632940341
"1320",0.00427409826890996,0.00942927794884597,0.0162910635973424,-0.00180618032995912,0.0248890543591984
"1322",0.00121477815493561,0.0101629841028644,0.0149778092144258,0.00123644527859662,0.0242212695794444
"1324",-0.00207236484663246,0.0111469135155377,0.0143094900189303,0.00502573642959729,0.0245484731246158
"1326",-0.005331993035207,0.0126392965520774,0.014238329475032,0.00931413624046782,0.024311317919239
"1328",-0.00898407083653916,0.0132451245206775,0.0129721281508627,0.0130106211949094,0.021331852262047
