"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5"
"906",-0.0233238447308009,-0.112430919659506,-0.0440580064495357,-0.00961950520815319,-0.062283529792428
"908",-0.0230610201996817,-0.133082718554385,-0.0387629239117997,-0.0211041583847131,-0.0460051837791987
"910",-0.01929549178585,-0.150390724012796,-0.0290227671285886,-0.0281021692087329,-0.0423816283952113
"912",-0.011467409853968,-0.162634279966094,-0.0150529134384988,-0.029277606946166,-0.0492768184768753
"914",0.000429290310184285,-0.168508671065851,0.00263384276639666,-0.0304953811267651,-0.0660664024274968
"916",0.0157036097288445,-0.167503929576823,0.0253272087887571,-0.0192522796239152,-0.0688777168460604
"918",0.0335277128524988,-0.159179973250611,0.0479029920409215,0.00163118245975873,-0.0471396092450003
"920",0.0529987643350577,-0.143041133039026,0.0684416531361479,0.0259379075698082,-0.0159302570055708
"922",0.0728362354854413,-0.120263134606644,0.0849855381800575,0.0395717476455412,0.0175837980140434
"924",0.0915933859125791,-0.0926369389399918,0.0932879606887398,0.0489818158110032,0.056570346013496
"926",0.107769624594219,-0.0628981923908793,0.0912693617432336,0.0482633582331487,0.0976505900112014
"928",0.120885278294766,-0.0337529274411352,0.079582972993862,0.0412817266556985,0.138650313778291
"930",0.131055130266636,-0.00843670610902765,0.056525880099788,0.0181522469825457,0.160986683385333
"932",0.139161133384323,0.0108319355089863,0.0237519803817673,-0.00929294759580067,0.173025962244654
"934",0.146695013876031,0.0233720324944221,-0.0164078006508514,-0.0465107681328394,0.165590869681745
"936",0.155343366027494,0.0308425109074798,-0.0594653834062255,-0.0780317472371047,0.153112978525464
"938",0.165854701586133,0.0362825220870174,-0.103768608643455,-0.105697695580676,0.127084553293744
"940",0.177409869898099,0.0453373192372363,-0.141601889850582,-0.120221076177767,0.0880888016044327
"942",0.186997095071182,0.0631681629497394,-0.168512359028817,-0.131081769469754,0.035191399644624
"944",0.189175710038081,0.0935021186186483,-0.18040533969823,-0.128941559564276,-0.0245578383279089
