"","Comp 1","Comp 2","Comp 3","Comp 4"
"846",-0.0862776884563531,0.0186450673446306,0.0224107885185501,-0.100675041708579
"848",-0.0876960730044758,0.0101987926925413,0.0114662351009343,-0.0959925348968512
"850",-0.0890110357839394,0.00218750598624502,0.00340107494316038,-0.0961870286617965
"852",-0.0905634979737353,-0.00686077438728041,-0.00688074572653885,-0.10190923972666
"854",-0.0918790607548052,-0.016002587604486,-0.0187178262242652,-0.106938883948068
"856",-0.0925157959778781,-0.0241653413669347,-0.0281050653301427,-0.10881606400641
"858",-0.092994226385896,-0.0319579852356134,-0.0360339849372634,-0.110100216981212
"860",-0.093209535490722,-0.0402833902959239,-0.0465043263468274,-0.109813691105031
"862",-0.0930996273310894,-0.0478645867534608,-0.0554871049599778,-0.110110298590275
"864",-0.0924028227174602,-0.0549506670339678,-0.0618453753581002,-0.110524455031379
"866",-0.0916844958241334,-0.0618430914571594,-0.0680675634825322,-0.112065934021636
"868",-0.0905453631111411,-0.0691304061029017,-0.0752815724510488,-0.11714685373587
"870",-0.088994207909934,-0.0760834552097282,-0.0794654822431801,-0.120406115069389
"872",-0.0870005744123706,-0.0822763432771925,-0.0803901342155587,-0.119847552320164
"874",-0.084687763672629,-0.0876426602551803,-0.0784583793463052,-0.121268241638143
"876",-0.0817640333235144,-0.0921134813645213,-0.0734554666986078,-0.124302547426024
"878",-0.0778412099052731,-0.0959141417761232,-0.066017485540201,-0.127047164526908
"880",-0.0731495622530404,-0.0986778218233701,-0.0563724225744291,-0.123855814048646
"882",-0.0675302772176725,-0.101031903285357,-0.0467663109529073,-0.122814688433396
"884",-0.061393681225181,-0.102366145431803,-0.03507812965669,-0.123566643269315
"886",-0.0540561503311532,-0.101877486243047,-0.0184773310011536,-0.117815989191991
"888",-0.0454713977148131,-0.0997582128572354,0.00211555061900178,-0.110384681616319
"890",-0.0359010249958617,-0.0963490588835507,0.0252029333802265,-0.0998317115453116
"892",-0.0260899434141809,-0.0923965461963713,0.0474963930590979,-0.0891890666205025
"894",-0.0156172719407532,-0.0875956889448269,0.0700203437083824,-0.0761178620520728
"896",-0.00549610870407181,-0.082193849994955,0.0923629547040588,-0.0619377835981324
"898",0.00423821218020356,-0.0765048677876998,0.113549806736057,-0.0442933934567933
"900",0.0126797218297843,-0.0707090536376666,0.134569846330633,-0.0280911063121761
"902",0.0195870610061619,-0.0652544972452436,0.154530955747082,-0.0135879041362564
"904",0.0248192453172766,-0.0604871413443776,0.172606521546032,-0.00229729242338266
"906",0.0277411215749261,-0.0575280823707009,0.185983226753986,0.00652634784297398
"908",0.0282323337418567,-0.0558031121911143,0.197584752435143,0.0199063829086031
"910",0.0259659923870672,-0.0559700212350633,0.204921016788392,0.0320106774223639
"912",0.0208185777664979,-0.0583445705725985,0.206076182013236,0.0428368212577201
"914",0.0128050235967275,-0.0623965374266754,0.201854915086464,0.0530495322634526
"916",0.0015976410351219,-0.0677091904469383,0.192213540940163,0.0619258076790438
"918",-0.0121411743371041,-0.0736955228083688,0.176312619687033,0.0706221123054714
"920",-0.0273653352218576,-0.0795638386721737,0.154397212192242,0.0771871964888139
"922",-0.0428016018714205,-0.0844917618316014,0.128462559237605,0.0819187418731734
"924",-0.0572545803000897,-0.0881560200031507,0.100230613184292,0.084244758656619
"926",-0.0697325881311641,-0.0901436032239659,0.0734994553836318,0.0885001252206619
"928",-0.0803232044834439,-0.0910752710514621,0.0480647178833095,0.09182855220126
"930",-0.0889118574431039,-0.0908664530536896,0.0262065624110851,0.0960259166393265
"932",-0.0959691635134985,-0.0904055752738366,0.00560327834312415,0.0998497430494141
"934",-0.101929472847683,-0.0893358050110391,-0.0124590307506283,0.103850323214042
"936",-0.107129159187402,-0.0879575133982928,-0.0289441256322939,0.107403028963687
"938",-0.111853450111579,-0.0860805346115978,-0.0439930527871907,0.110781865725735
"940",-0.116386058315222,-0.0837449218529567,-0.0587190261478579,0.111978106630992
"942",-0.120781703521591,-0.0805300771365391,-0.072296686350184,0.111898677733022
"944",-0.125068788565765,-0.0761221108512876,-0.0843254419341297,0.108595965564675
"946",-0.12905707152035,-0.0701236971159337,-0.0941925427828881,0.102908203498045
"948",-0.132397438970559,-0.062175168834013,-0.101090447117902,0.0941063912158776
"950",-0.134588425761439,-0.0520238894859883,-0.10377541522056,0.082505282964398
"952",-0.135177095449831,-0.0397701945784565,-0.102258388725353,0.0673628089120355
"954",-0.133700329993239,-0.0256500470784762,-0.0955509442177212,0.0507658907061018
"956",-0.129958944104616,-0.0101270143309183,-0.08267640341137,0.035353033137978
"958",-0.124195275377823,0.00585299888403304,-0.0658424534973836,0.020338063840514
"960",-0.116823250722838,0.0216230998655494,-0.045787625901404,0.00637476142072563
