"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"920",-0.0764951168752942,0.0209136072677402,0.0136140659143934,-0.0730905131511048,0.127246419142637,0.143568483487889,0.036627385553975,0.0371155144798489
"922",-0.0753749580263681,0.0228822812026928,0.00349777235578145,-0.0814524876463094,0.131452675995097,0.126719413263164,0.0377985892121887,0.024717269506426
"924",-0.074105346964072,0.025100021373014,-0.00797221650641393,-0.0904175184876501,0.134119532671058,0.106282847681938,0.0367960033966325,0.0099854614434995
"926",-0.0726519584758642,0.0276241079651694,-0.0203297548008587,-0.0993939317153073,0.137583554762987,0.0864132206968187,0.041748278479184,0.00539934343862048
"928",-0.0710006695584359,0.0304744552805312,-0.033470541196012,-0.108140453417831,0.138890240463026,0.0642174478245062,0.0452765195445908,0.00371814682220064
"930",-0.0691293157216546,0.0336864158670907,-0.0468102259423231,-0.115938712583475,0.140334615283975,0.0435217112655276,0.0528255872029617,0.00891378547869754
"932",-0.0670361401800186,0.0372580403070106,-0.0601488130718633,-0.122949463324842,0.139632544344109,0.0218936134785962,0.0583310364358915,0.0190898201563011
"934",-0.0647319580557509,0.0411654945825941,-0.0733333833070605,-0.128589916933225,0.137692866347562,0.00135229454423811,0.0651719780309842,0.0340951327591017
"936",-0.0622241884703126,0.0453914057177187,-0.0861990064430169,-0.132914294734952,0.133253176982493,-0.0187290847363845,0.0723445254285458,0.0527773267673077
"938",-0.0595119607578392,0.0499315989769167,-0.0987593776958359,-0.13556739737235,0.126660487433725,-0.0377914771549156,0.080854894133872,0.0759297390488534
"940",-0.0565862799583778,0.054794508396022,-0.111128594749309,-0.136558331245105,0.115888690833463,-0.0583868159347219,0.0833356122549977,0.0952317389062138
"942",-0.0534320875397493,0.0599973981341969,-0.123427747928175,-0.13571567053031,0.102146369179403,-0.078373395540946,0.0841244184579044,0.114746684252062
"944",-0.0500261354508972,0.0655704079944503,-0.13571023805591,-0.132895873690308,0.0851933195348142,-0.0971817565494482,0.0803354826251648,0.123722909083884
"946",-0.0463515634235139,0.0715338792208579,-0.147781598164852,-0.127696177454884,0.0654768032794691,-0.113864301614112,0.0739404597979626,0.128274370812141
"948",-0.0424162212277928,0.0778691919295043,-0.159255213953884,-0.119815718142486,0.0440652495440788,-0.126767653060128,0.0657794003053748,0.12377253374226
"950",-0.0382745162326207,0.0844871330664914,-0.169476361243328,-0.109029893020283,0.0228164849511327,-0.133675284722359,0.0568399549761173,0.110661301767052
"952",-0.0340106445469828,0.0912593860686297,-0.177563435448634,-0.0953069846568742,0.0023474028317958,-0.134039968028687,0.0466105983097065,0.084501058926003
"954",-0.0297761027274302,0.0979551468422418,-0.182864957802921,-0.0790915163572708,-0.0152540027738689,-0.126653213244391,0.0376070192233854,0.0516879313744147
"956",-0.0257162805971915,0.104364507223387,-0.18468613134237,-0.0608289069632795,-0.026836397767058,-0.109122615683569,0.0346555671219356,0.0231315295026815
"958",-0.0219640252073298,0.110294335273638,-0.183042154846542,-0.041545890354349,-0.0338046235325101,-0.0852314410201021,0.0341459912710257,-0.00613109308791582
"960",-0.0186141313609847,0.11560818309159,-0.17831781309763,-0.0222208856642074,-0.0362650666759174,-0.0570123260853837,0.0354572673115425,-0.035326183596307
"962",-0.0156899043839591,0.120276917628241,-0.17108387131441,-0.00367418662017652,-0.0352471055167475,-0.027185018306036,0.0384287647247689,-0.0588972566840062
"964",-0.0131745759766891,0.124326362127794,-0.162100699960021,0.0134727032152885,-0.032804651450717,0.00130752900895062,0.0406851800629285,-0.0776900742204295
"966",-0.0110181340708148,0.127829469572976,-0.152108698586966,0.029176543530804,-0.0290093494323485,0.0283309779144135,0.0416826998326934,-0.0937760165873982
"968",-0.0091547067208609,0.130885302758135,-0.141557476009778,0.0433626036822667,-0.024979046254339,0.0522847143588182,0.0422379078276048,-0.103957617249998
"970",-0.00754294929422847,0.133551891735918,-0.130936768341652,0.0560333813775308,-0.0213480484358579,0.0729845517506819,0.0412186502227718,-0.111916527022127
"972",-0.00614538285280441,0.135885079652758,-0.120449627461431,0.0674107666328791,-0.0177349798925415,0.0914323137618265,0.0394976603906321,-0.115257261909208
"974",-0.00495662818689895,0.137892255379255,-0.110227578184454,0.0771950899208856,-0.0152274094464962,0.105920880428818,0.0361010108806987,-0.116349025818559
