"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6"
"998",0.0344393626118231,0.0924446669653073,-0.0284430400520639,-0.00189393933494223,-0.0182220777490051,-0.0718166699705288
"1000",0.0380565931302955,0.0849604460930068,-0.0284226205462525,-0.0222778988359592,-0.0157548773285422,-0.0756193512858566
"1002",0.041389469565074,0.0771891311152711,-0.0279423115434008,-0.0416456463884407,-0.0128833414199943,-0.0783148613629274
"1004",0.0444876743518941,0.0692391677152613,-0.026884183297695,-0.0596828914823964,-0.0100376523043396,-0.0811595572377513
"1006",0.047430229798183,0.0611545985812622,-0.0254275129828506,-0.0763714721465715,-0.00734252748173003,-0.0842092939166852
"1008",0.0502608030228708,0.0530532655874886,-0.0233581205780831,-0.0911868836542902,-0.00461059327539799,-0.086922081887649
"1010",0.0530631680730101,0.0449978129685086,-0.0208933892405561,-0.10435924964528,-0.00173758208540662,-0.0898920031657144
"1012",0.0558560997777462,0.0370761697278838,-0.0178488804730219,-0.115291276198924,0.00151398614259086,-0.0923238681172085
"1014",0.0587228619689158,0.0293653004370951,-0.0144306850441756,-0.124160433800916,0.00500287338404305,-0.0944370822231449
"1016",0.0616557566936778,0.0219094235974531,-0.0106016591366765,-0.130739462443434,0.00819857411260834,-0.097040858880837
"1018",0.06468571129844,0.0147635094881073,-0.00648443222565818,-0.135158388159516,0.0114184679266762,-0.0994323608176957
"1020",0.0677685306326181,0.0079516140180654,-0.00202716556295004,-0.137255526635093,0.0142675260889194,-0.101944620269363
"1022",0.0709582216695889,0.00156507298623295,0.00256697528787048,-0.137323460524191,0.0170743689757515,-0.103790352238817
"1024",0.0742134146446259,-0.00441950543200335,0.00732013839740574,-0.135340022308775,0.0194022661998478,-0.105569685591602
"1026",0.0775469872026634,-0.00994154963039418,0.0121561866165856,-0.131401920896534,0.0215378398064466,-0.10625093362878
"1028",0.0809771104487593,-0.0149761177552692,0.0169901376641798,-0.125774375564845,0.0235489157443735,-0.105547491619901
"1030",0.084523392520307,-0.0194829209114568,0.021690144092391,-0.118723449094683,0.0254130713040873,-0.104030960936586
"1032",0.0881419871994894,-0.0234805892063944,0.0264156692865973,-0.109944650647693,0.0271119627642736,-0.101171487648832
"1034",0.0918416970885326,-0.0269604747924679,0.0311359974151698,-0.0996155638119849,0.0282663997863087,-0.098012668533227
"1036",0.0956407705177566,-0.0299159127034777,0.0356448091135743,-0.0880900291315796,0.029194354883253,-0.094067288680722
"1038",0.0995016160222108,-0.0323631502594118,0.0399761422878771,-0.0753683440394455,0.0302595394357428,-0.0885986753755578
"1040",0.10338081547126,-0.0343496032731073,0.0439576731493885,-0.061822739603514,0.0312610650682402,-0.0821552468782297
"1042",0.107235520121277,-0.0359166273267815,0.0475221998729913,-0.0477150558568344,0.0325648058570745,-0.0740687590315226
"1044",0.110966040503186,-0.0371844935574592,0.0506904578822206,-0.0333145404418131,0.034018020000274,-0.0646680839535579
"1046",0.114519204007909,-0.038188398010406,0.0534971347966756,-0.0187956717844491,0.0360516402780829,-0.0530224224953833
"1048",0.117845495174259,-0.0390137649718798,0.0558549995232476,-0.00458547218234913,0.0384404554585211,-0.0394604948812165
"1050",0.12085407714864,-0.0397480984115504,0.0577598416765108,0.00905288655883728,0.0408634701682457,-0.0245910701927768
"1052",0.12343124319722,-0.0405165359618681,0.0592230494089313,0.0218591279014835,0.0424593695169041,-0.00964092536677745
"1054",0.125539991278791,-0.0413556531671917,0.0602291982649287,0.0335036419167162,0.043417117776558,0.00530278559128948
"1056",0.127151527617458,-0.0423263305491497,0.0605865080868582,0.0434908163630576,0.0439457656644638,0.0210680311805354
"1058",0.128212646332337,-0.043463874364321,0.0604194362256698,0.0518749061235547,0.0438680059813257,0.0376260569239
"1060",0.128692937693901,-0.044816565793729,0.059604809930487,0.0583550948045363,0.0430227168424439,0.0545655817501574
"1062",0.128555877434775,-0.0464485492771421,0.0581437459445508,0.0628487822629342,0.0413718405361192,0.0718797216614005
"1064",0.127790383121373,-0.0484021371842006,0.0560313448685749,0.0651297496872116,0.0379480575689712,0.087965013149855
"1066",0.126428443683852,-0.0506573127112488,0.0533636083722713,0.0652692782167146,0.0324135099701037,0.101632090544632
"1068",0.124476990711164,-0.0532366679403559,0.0501380872697426,0.0633066991088748,0.0247292783081811,0.112515116208187
