"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8","Comp 9"
"850",0.0762507995695692,-0.039054990788172,-0.0355128496885538,-0.138220300363195,0.0162409392911621,-0.0844867361383536,0.145382039333398,0.0820156308009613,-0.0774398377710227
"852",0.0756931312394109,-0.0399388681280562,-0.0378041046274282,-0.145546102883602,0.00721311443876514,-0.0924944862905686,0.113234215200361,0.0753710960625027,-0.1105572550622
"854",0.0756530571365251,-0.040160925235232,-0.0382688234949707,-0.148585271289584,0.00205665455811018,-0.0964458200882975,0.0843422535394434,0.0683617790331105,-0.128184784487977
"856",0.0760091194885461,-0.0398238554228887,-0.0369866450791224,-0.147238624724127,0.00222621777006231,-0.093648246131228,0.0648751945696299,0.0636843275372815,-0.132711787813229
"858",0.0767743794541585,-0.0390000366486932,-0.0342390209214442,-0.140982099063015,0.00635102848477708,-0.0867871255017168,0.0440498491761674,0.0560224958737716,-0.134426929058308
"860",0.0779823784620057,-0.0375383021328783,-0.0303330750700595,-0.132065453417352,0.0127863843931687,-0.0763396152971621,0.0309788914530987,0.0548069669305417,-0.11863315974848
"862",0.0796218348474656,-0.0354512971972916,-0.0252156199502805,-0.119842778070804,0.0218250148245033,-0.0628752679060072,0.0252210701018583,0.0560929377335126,-0.0939539076654025
"864",0.0813799007190973,-0.0331518212539014,-0.0198735880213137,-0.107365248801848,0.0302766847273575,-0.0512279393924044,0.0149267343999011,0.0506247027356984,-0.084147615697617
"866",0.0831643905537338,-0.0307659978113473,-0.0145283108611613,-0.0944090618991797,0.0385552943403342,-0.0410595256375703,-0.00136562588487578,0.039849900537507,-0.0878866367412221
"868",0.0851901703129459,-0.0279602634162251,-0.00888375610100783,-0.0811168410558582,0.0466255333149905,-0.0325856507219843,-0.0181970435078941,0.0291495135381196,-0.091661532765664
"870",0.0873833956321522,-0.0248404714927863,-0.00293113738708212,-0.0676092864674142,0.0545720696032765,-0.0250924430632662,-0.031504952637799,0.0202870538837411,-0.0887511680314411
"872",0.0896704825103663,-0.021501141979932,0.00295868931290172,-0.0556274621850021,0.0613289596477789,-0.0186544925986976,-0.0412043986335667,0.0138408980804786,-0.0823312002665709
"874",0.0919627816822706,-0.0181199027628808,0.00840244161899496,-0.045061209296841,0.0668949562291181,-0.0127263349184339,-0.049770255974637,0.00738799648232969,-0.0776281126073484
"876",0.0944907275183589,-0.0143579101662705,0.0139362786878955,-0.0342172494066544,0.0728622056712169,-0.00566651259257242,-0.0517510428923309,0.00291956425436459,-0.0700390536574472
"878",0.0973078277669639,-0.0101396410398418,0.0195975097305125,-0.0227450809122205,0.0794139288136862,0.00260900903172883,-0.0482865880850811,-0.00111850665827912,-0.0646490817413274
"880",0.100375716940251,-0.0055141365747365,0.0253197650447565,-0.0110067091130845,0.0861164553834622,0.0113899784177419,-0.0421224054975621,-0.00520749667786216,-0.0608035376310965
"882",0.1035687815943,-0.000646921618770627,0.0310091818731442,0.0004604756666916,0.0928960750038383,0.0205872687692645,-0.0336095840106751,-0.00831740092826866,-0.0555381545759097
"884",0.106823674267302,0.00436815465678178,0.0366709260177677,0.0120454839331211,0.100430827050549,0.0315996982319462,-0.0185843571404756,-0.00827224384091462,-0.0450375701222029
"886",0.109957358449673,0.00923484296224342,0.0420166067860094,0.0233264072372257,0.108048063694498,0.0435987797128619,0.0020845600108219,-0.00566889694709934,-0.0309810431553513
"888",0.112821980077959,0.0137126307215763,0.04698765142164,0.0342863700287852,0.115455512074833,0.0563028486714929,0.0277491799460076,-0.000192415023891078,-0.0132134380564697
"890",0.115235058055169,0.0175081550573796,0.0513908717055096,0.0448903242911492,0.122533915398177,0.0690305656504909,0.0542590240516506,0.00572129139195162,0.00318350318895053
"892",0.116945492848717,0.0202157758647948,0.055044609739215,0.0550967870984909,0.129229267845132,0.0814987402332085,0.0816855999303998,0.0114019089161075,0.0174827790756885
"894",0.117740131669569,0.0214826434406176,0.0575861422072446,0.0637732536349419,0.134395749805552,0.091841680133627,0.104434508543221,0.0137963483929718,0.0227231300730436
"896",0.117220503518277,0.0206802547339944,0.0585520517236635,0.0698526933396046,0.137194943690632,0.0984757333051347,0.116150261717483,0.010267752347115,0.0135692758697445
"898",0.115185804568691,0.0175052712641399,0.0578964930416779,0.0736085037685688,0.138329031573108,0.103151683841905,0.125672333619523,0.00777087302189337,0.00710178923553195
